family_base,knob_variant,ratio_variant,pipeline,runs_total,infeasible_runs,feasible_runs,metric_mean,metric_sem,infeasible_rate,perf_mean,perf_sem,_x
baseline,midvar,off0_on100,CABFD+CostAwareBestFit,50,14,36,1.0049530253956622,0.0010603768021809534,0.28,0.4953025395662225,0.10603768021809534,off0_on100
baseline,midvar,off0_on100,CABFD+PrimalDual,50,17,33,1.007399061729788,0.001102093009369564,0.34,0.7399061729788103,0.11020930093695641,off0_on100
baseline,midvar,off0_on100,MILP(offSlack)+CostAwareBestFit,50,14,36,1.0049530253956622,0.0010603768021809534,0.28,0.4953025395662225,0.10603768021809534,off0_on100
baseline,midvar,off0_on100,MILP(offSlack)+PrimalDual,50,17,33,1.007399061729788,0.001102093009369564,0.34,0.7399061729788103,0.11020930093695641,off0_on100
baseline,midvar,off0_on100,MILP+CostAwareBestFit,50,14,36,1.0049530253956622,0.0010603768021809534,0.28,0.4953025395662225,0.10603768021809534,off0_on100
baseline,midvar,off0_on100,MILP+PrimalDual,50,17,33,1.007399061729788,0.001102093009369564,0.34,0.7399061729788103,0.11020930093695641,off0_on100
baseline,midvar,off0_on100,UtilizationPriced+CostAwareBestFit,50,14,36,1.0049530253956622,0.0010603768021809534,0.28,0.4953025395662225,0.10603768021809534,off0_on100
baseline,midvar,off0_on100,UtilizationPriced+PrimalDual,50,17,33,1.007399061729788,0.001102093009369564,0.34,0.7399061729788103,0.11020930093695641,off0_on100
baseline,midvar,off20_on80,CABFD+CostAwareBestFit,50,0,50,1.009841665786512,0.001479576289971435,0.0,0.9841665786511911,0.1479576289971435,off20_on80
baseline,midvar,off20_on80,CABFD+PrimalDual,50,0,50,1.0151525459906827,0.001983104931018925,0.0,1.515254599068272,0.1983104931018925,off20_on80
baseline,midvar,off20_on80,MILP(offSlack)+CostAwareBestFit,50,0,50,1.0105002554072051,0.001451987766197807,0.0,1.0500255407205117,0.1451987766197807,off20_on80
baseline,midvar,off20_on80,MILP(offSlack)+PrimalDual,50,0,50,1.0135169286361352,0.001880841629832568,0.0,1.3516928636135184,0.18808416298325678,off20_on80
baseline,midvar,off20_on80,MILP+CostAwareBestFit,50,0,50,1.009841665786512,0.0014795762899714384,0.0,0.9841665786511911,0.14795762899714385,off20_on80
baseline,midvar,off20_on80,MILP+PrimalDual,50,0,50,1.0151525459906827,0.0019831049310189237,0.0,1.515254599068272,0.19831049310189236,off20_on80
baseline,midvar,off20_on80,UtilizationPriced+CostAwareBestFit,50,0,50,1.0101458588492531,0.001648358948791923,0.0,1.014585884925312,0.1648358948791923,off20_on80
baseline,midvar,off20_on80,UtilizationPriced+PrimalDual,50,0,50,1.0129119024343707,0.00169880961695658,0.0,1.2911902434370681,0.169880961695658,off20_on80
baseline,midvar,off40_on60,CABFD+CostAwareBestFit,50,0,50,1.0120649629728113,0.002380832903816299,0.0,1.2064962972811344,0.2380832903816299,off40_on60
baseline,midvar,off40_on60,CABFD+PrimalDual,50,0,50,1.0134218480201813,0.0022506490732135233,0.0,1.3421848020181315,0.22506490732135234,off40_on60
baseline,midvar,off40_on60,MILP(offSlack)+CostAwareBestFit,50,0,50,1.0122047383422044,0.0020871167731353504,0.0,1.2204738342204369,0.20871167731353504,off40_on60
baseline,midvar,off40_on60,MILP(offSlack)+PrimalDual,50,0,50,1.0129253374848683,0.002202536224803428,0.0,1.2925337484868349,0.22025362248034283,off40_on60
baseline,midvar,off40_on60,MILP+CostAwareBestFit,50,0,50,1.0120649629728113,0.0023808329038163007,0.0,1.2064962972811344,0.23808329038163006,off40_on60
baseline,midvar,off40_on60,MILP+PrimalDual,50,0,50,1.0134218480201813,0.0022506490732135238,0.0,1.3421848020181315,0.22506490732135237,off40_on60
baseline,midvar,off40_on60,UtilizationPriced+CostAwareBestFit,50,0,50,1.010203723732255,0.001700360352637899,0.0,1.0203723732254977,0.1700360352637899,off40_on60
baseline,midvar,off40_on60,UtilizationPriced+PrimalDual,50,0,50,1.0116753968912813,0.002006033043492313,0.0,1.1675396891281276,0.2006033043492313,off40_on60
baseline,midvar,off50_on50,CABFD+CostAwareBestFit,50,0,50,1.014098454165579,0.002178942587855992,0.0,1.4098454165579088,0.21789425878559918,off50_on50
baseline,midvar,off50_on50,CABFD+PrimalDual,50,0,50,1.015894227050112,0.0023169769768323937,0.0,1.5894227050111898,0.23169769768323936,off50_on50
baseline,midvar,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,1.0104161174431605,0.0017608042734328898,0.0,1.041611744316051,0.17608042734328896,off50_on50
baseline,midvar,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,1.0104193170122406,0.0018724009680827897,0.0,1.0419317012240636,0.18724009680827897,off50_on50
baseline,midvar,off50_on50,MILP+CostAwareBestFit,50,0,50,1.014098454165579,0.002178942587855995,0.0,1.4098454165579088,0.21789425878559948,off50_on50
baseline,midvar,off50_on50,MILP+PrimalDual,50,0,50,1.015894227050112,0.002316976976832393,0.0,1.5894227050111898,0.23169769768323928,off50_on50
baseline,midvar,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,1.007036193397109,0.0015852877951234483,0.0,0.7036193397109036,0.15852877951234484,off50_on50
baseline,midvar,off50_on50,UtilizationPriced+PrimalDual,50,0,50,1.007128035604143,0.0017497056660388012,0.0,0.712803560414299,0.1749705666038801,off50_on50
baseline,midvar,off60_on40,CABFD+CostAwareBestFit,50,0,50,1.0091085727057203,0.0018305883140360456,0.0,0.9108572705720297,0.18305883140360457,off60_on40
baseline,midvar,off60_on40,CABFD+PrimalDual,50,0,50,1.0164434251308188,0.003540679335787385,0.0,1.6443425130818756,0.3540679335787385,off60_on40
baseline,midvar,off60_on40,MILP(offSlack)+CostAwareBestFit,50,0,50,1.0069495341614627,0.0014155809658773543,0.0,0.6949534161462712,0.14155809658773544,off60_on40
baseline,midvar,off60_on40,MILP(offSlack)+PrimalDual,50,0,50,1.0106986146928592,0.0021180018176840576,0.0,1.0698614692859154,0.21180018176840576,off60_on40
baseline,midvar,off60_on40,MILP+CostAwareBestFit,50,0,50,1.0091085727057203,0.0018305883140360458,0.0,0.9108572705720297,0.18305883140360457,off60_on40
baseline,midvar,off60_on40,MILP+PrimalDual,50,0,50,1.0164434251308188,0.003540679335787385,0.0,1.6443425130818756,0.3540679335787385,off60_on40
baseline,midvar,off60_on40,UtilizationPriced+CostAwareBestFit,50,0,50,1.0037797971001243,0.0012400912309916076,0.0,0.3779797100124327,0.12400912309916076,off60_on40
baseline,midvar,off60_on40,UtilizationPriced+PrimalDual,50,0,50,1.0050135734990402,0.0015083331475378966,0.0,0.5013573499040191,0.15083331475378967,off60_on40
baseline,midvar,off80_on20,CABFD+CostAwareBestFit,50,0,50,1.0165125254561085,0.0025517673234730087,0.0,1.6512525456108484,0.25517673234730087,off80_on20
baseline,midvar,off80_on20,CABFD+PrimalDual,50,0,50,1.0265603219464852,0.004365091393880199,0.0,2.6560321946485166,0.4365091393880199,off80_on20
baseline,midvar,off80_on20,MILP(offSlack)+CostAwareBestFit,50,0,50,1.0071569030766616,0.0013780001001606529,0.0,0.7156903076661614,0.1378000100160653,off80_on20
baseline,midvar,off80_on20,MILP(offSlack)+PrimalDual,50,0,50,1.0097100434865418,0.0018228525112841114,0.0,0.9710043486541808,0.18228525112841115,off80_on20
baseline,midvar,off80_on20,MILP+CostAwareBestFit,50,0,50,1.0165125254561085,0.0025517673234730113,0.0,1.6512525456108484,0.25517673234730115,off80_on20
baseline,midvar,off80_on20,MILP+PrimalDual,50,0,50,1.0265603219464854,0.0043650913938802025,0.0,2.656032194648539,0.4365091393880203,off80_on20
baseline,midvar,off80_on20,UtilizationPriced+CostAwareBestFit,50,0,50,1.0035600795908524,0.0007917798743575882,0.0,0.3560079590852361,0.07917798743575882,off80_on20
